horizon_name,date,location,location_name,product,product_name,supplier,abc_class,lead_time_days,reorder_point_s,order_up_to_S,z_value,review_days,opening_inventory,received_qty,inventory_position_before_order,order_qty,arrival_date,inventory_position_after_order,on_order_after,forecast_demand,forecast_std,promo_uplift,actual_demand,fulfilled_units,lost_sales_units,ending_inventory,simulated_stockout_flag,purchase_price,sales_price,simulated_inventory_value,ordering_cost,actual_balance,actual_inventory_value,actual_stockout_flag,is_promo,campaign_type
test_q4_2024,2024-10-01,1314,LOJA 1314,13315,BROMELIN SUSP 100ML,33104,C,9,1,3,0.0,0,3.0,0,3.0,0,,3.0,0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0,54.34,66.14,163.02,0.0,2.0,108.68,0,0,
test_q4_2024,2024-10-02,1314,LOJA 1314,13315,BROMELIN SUSP 100ML,33104,C,9,1,3,0.0,0,3.0,0,3.0,0,,3.0,0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0,54.34,66.14,163.02,0.0,2.0,108.68,0,0,
test_q4_2024,2024-10-03,1314,LOJA 1314,13315,BROMELIN SUSP 100ML,33104,C,9,1,3,0.0,0,3.0,0,3.0,0,,3.0,0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0,54.34,66.14,163.02,0.0,2.0,108.68,0,0,
test_q4_2024,2024-10-04,1314,LOJA 1314,13315,BROMELIN SUSP 100ML,33104,C,9,1,3,0.0,0,3.0,0,3.0,0,,3.0,0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0,54.34,66.14,163.02,0.0,2.0,108.68,0,0,
test_q4_2024,2024-10-05,1314,LOJA 1314,13315,BROMELIN SUSP 100ML,33104,C,9,1,3,0.0,0,3.0,0,3.0,0,,3.0,0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0,54.34,66.14,163.02,0.0,2.0,108.68,0,0,
test_q4_2024,2024-10-06,1314,LOJA 1314,13315,BROMELIN SUSP 100ML,33104,C,9,1,3,0.0,0,3.0,0,3.0,0,,3.0,0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0,54.34,66.14,163.02,0.0,,,0,0,
test_q4_2024,2024-10-07,1314,LOJA 1314,13315,BROMELIN SUSP 100ML,33104,C,9,1,3,0.0,0,3.0,0,3.0,0,,3.0,0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0,54.34,66.14,163.02,0.0,2.0,108.68,0,0,
test_q4_2024,2024-10-08,1314,LOJA 1314,13315,BROMELIN SUSP 100ML,33104,C,9,1,3,0.0,0,3.0,0,3.0,0,,3.0,0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0,54.34,66.14,163.02,0.0,2.0,108.68,0,0,
test_q4_2024,2024-10-09,1314,LOJA 1314,13315,BROMELIN SUSP 100ML,33104,C,9,1,3,0.0,0,3.0,0,3.0,0,,3.0,0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0,54.34,66.14,108.68,0.0,2.0,108.68,0,0,
test_q4_2024,2024-10-10,1314,LOJA 1314,13315,BROMELIN SUSP 100ML,33104,C,9,1,3,0.0,0,2.0,0,2.0,0,,2.0,0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0,54.34,66.14,108.68,0.0,1.0,54.34,0,0,
test_q4_2024,2024-10-11,1314,LOJA 1314,13315,BROMELIN SUSP 100ML,33104,C,9,1,3,0.0,0,2.0,0,2.0,0,,2.0,0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0,54.34,66.14,108.68,0.0,1.0,54.34,0,0,
test_q4_2024,2024-10-12,1314,LOJA 1314,13315,BROMELIN SUSP 100ML,33104,C,9,1,3,0.0,0,2.0,0,2.0,0,,2.0,0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0,54.34,66.14,108.68,0.0,1.0,54.34,0,0,
test_q4_2024,2024-10-13,1314,LOJA 1314,13315,BROMELIN SUSP 100ML,33104,C,9,1,3,0.0,0,2.0,0,2.0,0,,2.0,0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0,54.34,66.14,108.68,0.0,,,0,0,
test_q4_2024,2024-10-14,1314,LOJA 1314,13315,BROMELIN SUSP 100ML,33104,C,9,1,3,0.0,0,2.0,0,2.0,0,,2.0,0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0,54.34,66.14,108.68,0.0,1.0,54.34,0,0,
test_q4_2024,2024-10-15,1314,LOJA 1314,13315,BROMELIN SUSP 100ML,33104,C,9,1,3,0.0,0,2.0,0,2.0,0,,2.0,0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0,54.34,66.14,108.68,0.0,1.0,54.34,0,0,
test_q4_2024,2024-10-16,1314,LOJA 1314,13315,BROMELIN SUSP 100ML,33104,C,9,1,3,0.0,0,2.0,0,2.0,0,,2.0,0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0,54.34,66.14,108.68,0.0,1.0,54.34,0,0,
test_q4_2024,2024-10-17,1314,LOJA 1314,13315,BROMELIN SUSP 100ML,33104,C,9,1,3,0.0,0,2.0,0,2.0,0,,2.0,0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0,54.34,66.14,108.68,0.0,1.0,54.34,0,0,
test_q4_2024,2024-10-18,1314,LOJA 1314,13315,BROMELIN SUSP 100ML,33104,C,9,1,3,0.0,0,2.0,0,2.0,0,,2.0,0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0,54.34,66.14,108.68,0.0,1.0,54.34,0,0,
test_q4_2024,2024-10-19,1314,LOJA 1314,13315,BROMELIN SUSP 100ML,33104,C,9,1,3,0.0,0,2.0,0,2.0,0,,2.0,0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0,54.34,66.14,108.68,0.0,2.0,108.68,0,0,
test_q4_2024,2024-10-20,1314,LOJA 1314,13315,BROMELIN SUSP 100ML,33104,C,9,1,3,0.0,0,2.0,0,2.0,0,,2.0,0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0,54.34,66.14,108.68,0.0,,,0,0,
test_q4_2024,2024-10-21,1314,LOJA 1314,13315,BROMELIN SUSP 100ML,33104,C,9,1,3,0.0,0,2.0,0,2.0,0,,2.0,0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0,54.34,66.14,108.68,0.0,2.0,108.68,0,0,
test_q4_2024,2024-10-22,1314,LOJA 1314,13315,BROMELIN SUSP 100ML,33104,C,9,1,3,0.0,0,2.0,0,2.0,0,,2.0,0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0,54.34,66.14,108.68,0.0,2.0,108.68,0,0,
