product,location,reorder_point_s,order_up_to_S
18064,1314,132,300
18064,841,9,23
9607,1314,9,15
21141,1314,4,9
20635,1314,5,8
36857,1314,3,7
15589,1314,3,9
9607,841,3,6
5345,1314,3,8
21141,841,1,3
57814,841,1,2
1439,1314,2,6
15589,841,3,4
48813,1314,2,4
5345,841,1,3
36857,841,2,3
13315,1314,1,2
35772,1314,1,2
31330,1314,3,6
57816,841,1,3
48812,1314,6,7
35416,1314,2,4
1439,841,1,2
35772,841,1,2
20635,841,1,2
48813,841,1,2
42076,841,1,2
57817,841,1,2
62782,841,1,2
51957,1314,3,4
44217,1314,2,3
76834,1314,1,2
58701,1314,1,2
15590,841,1,2
35416,841,2,3
58701,841,1,2
48812,841,1,2
15496,1314,1,2
42076,1314,1,2
15590,1314,3,4
57912,1314,1,2
62364,1314,1,2
62782,1314,1,2
13315,841,1,2
31330,841,1,2
15496,841,1,2
57816,1314,3,4
57814,1314,1,2
55917,1314,1,2
54554,1314,1,2
57817,1314,1,2
54554,841,1,2
44217,841,1,2
51957,841,3,4
57912,841,1,2
55917,841,1,2
62364,841,1,2
76834,841,1,2
